iter	RMSE
0	1969.496517
1	1903.197265
2	1843.874002
3	1792.456026
4	1750.448708
5	1715.664454
6	1686.37423
7	1661.990967
8	1640.342476
9	1618.742034
10	1603.460542
11	1582.641878
12	1569.930142
13	1559.463857
14	1550.853543
15	1542.91165
16	1536.269364
17	1529.950448
18	1524.064687
19	1519.453245
20	1515.5194
21	1508.904519
22	1505.438651
23	1502.55504
24	1499.486925
25	1496.832936
26	1495.090656
27	1492.754818
28	1490.06951
29	1487.819886
30	1484.550468
31	1482.540105
32	1477.804742
33	1476.01819
34	1474.502427
35	1472.976649
36	1471.917544
37	1470.625053
38	1469.176859
39	1468.48441
40	1466.817902
41	1465.668222
42	1462.425988
43	1461.80681
44	1460.538946
45	1459.095845
46	1457.434329
47	1456.083223
48	1453.215727
49	1452.35529
50	1450.134894
51	1449.407685
52	1448.527998
53	1446.868924
54	1446.179961
55	1445.297031
56	1444.15581
57	1442.912372
58	1441.820102
59	1441.380476
60	1440.633371
61	1439.332171
62	1438.558401
63	1437.521305
64	1436.653938
65	1435.802648
66	1434.662846
67	1433.901883
68	1433.346885
69	1431.713349
70	1430.302384
71	1429.542909
72	1428.732465
73	1428.061985
74	1426.911252
75	1426.193898
76	1425.492172
77	1424.64655
78	1423.858817
79	1422.803821
80	1421.987023
81	1421.104088
82	1420.509861
83	1420.1921
84	1419.849591
85	1419.071198
86	1418.928782
87	1417.370001
88	1416.689791
89	1415.218091
90	1414.434142
91	1413.397788
92	1412.625697
93	1411.869522
94	1411.473613
95	1410.345634
96	1409.913792
97	1409.283661
98	1408.90385
99	1408.16244
