iter	Passed	Remaining
0	1	189
1	4	198
2	6	201
3	8	197
4	10	196
5	12	191
6	14	188
7	16	187
8	18	184
9	20	185
10	22	184
11	25	183
12	27	181
13	29	179
14	31	177
15	33	174
16	36	175
17	38	174
18	40	172
19	42	170
20	44	168
21	46	165
22	48	163
23	51	161
24	53	159
25	55	158
26	57	156
27	59	154
28	62	152
29	64	150
30	66	148
31	68	146
32	70	144
33	73	141
34	75	139
35	77	137
36	79	135
37	81	133
38	83	131
39	86	129
40	88	126
41	90	124
42	92	122
43	94	120
44	96	117
45	98	115
46	100	113
47	102	110
48	104	108
49	106	106
50	108	104
51	110	101
52	112	99
53	114	97
54	116	95
55	118	93
56	120	90
57	122	88
58	124	86
59	126	84
60	128	82
61	130	80
62	133	78
63	134	75
64	136	73
65	138	71
66	141	69
67	143	67
68	145	65
69	147	63
70	149	60
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	163	46
78	165	44
79	168	42
80	170	39
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	182	27
87	184	25
88	186	23
89	188	20
90	190	18
91	193	16
92	195	14
93	197	12
94	199	10
95	201	8
96	203	6
97	205	4
98	207	2
99	209	0
